"words","frequency","first","second","third"
"nothing i mean",2,"nothing","i","mean"
"nothing like good",2,"nothing","like","good"
"nothing quite like",2,"nothing","quite","like"
"nova scotia style",3,"nova","scotia","style"
"now following also",3,"now","following","also"
"now html headtitle",2,"now","html","headtitle"
"now i can",9,"now","i","can"
"now i don’t",2,"now","i","don’t"
"now i feel",4,"now","i","feel"
"now i get",2,"now","i","get"
"now i go",2,"now","i","go"
"now i hear",2,"now","i","hear"
"now i just",5,"now","i","just"
"now i know",7,"now","i","know"
"now i look",2,"now","i","look"
"now i need",2,"now","i","need"
"now i really",2,"now","i","really"
"now i wanna",2,"now","i","wanna"
"now i want",6,"now","i","want"
"now i will",6,"now","i","will"
"now im back",3,"now","im","back"
"now im going",2,"now","im","going"
"now im hungry",3,"now","im","hungry"
"now im one",2,"now","im","one"
"now just somebody",3,"now","just","somebody"
"now time get",2,"now","time","get"
"number expect kiss",2,"number","expect","kiss"
"number people i",3,"number","people","i"
"of course can",2,"of","course","can"
"of course i",11,"of","course","i"
"of course now",2,"of","course","now"
"of the sea",2,"of","the","sea"
"oh god i",2,"oh","god","i"
"oh gosh i",3,"oh","gosh","i"
"oh gosh yes",2,"oh","gosh","yes"
"oh how i",2,"oh","how","i"
"oh i guess",2,"oh","i","guess"
"oh i just",2,"oh","i","just"
"oh i know",2,"oh","i","know"
"oh i love",2,"oh","i","love"
"oh i miss",2,"oh","i","miss"
"oh yeah i",2,"oh","yeah","i"
"ohio valley chapter",3,"ohio","valley","chapter"
"oil hot wok",2,"oil","hot","wok"
"oil shock absorber",3,"oil","shock","absorber"
"ok i admit",2,"ok","i","admit"
"okay i think",2,"okay","i","think"
"old high school",2,"old","high","school"
"old stomping grounds",2,"old","stomping","grounds"
"omg i know",3,"omg","i","know"
"omg omg omg",3,"omg","omg","omg"
"on hand i",2,"on","hand","i"
"on last day",2,"on","last","day"
"on side note",2,"on","side","note"
"on way home",2,"on","way","home"
"on wednesday i",2,"on","wednesday","i"
"once upon sketch",3,"once","upon","sketch"
"one another i",2,"one","another","i"
"one best friends",4,"one","best","friends"
"one can easily",2,"one","can","easily"
"one can see",2,"one","can","see"
"one day i",8,"one","day","i"
"one day ill",5,"one","day","ill"
"one day time",2,"one","day","time"
"one day week",2,"one","day","week"
"one day will",2,"one","day","will"
"one extraordinary man",2,"one","extraordinary","man"
"one favorite players",2,"one","favorite","players"
"one favorite things",2,"one","favorite","things"
"one last time",2,"one","last","time"
"one machine can",2,"one","machine","can"
"one many things",2,"one","many","things"
"one month today",2,"one","month","today"
"one on me",3,"one","on","me"
"one one i",2,"one","one","i"
"one point i",2,"one","point","i"
"one reason i",3,"one","reason","i"
"one reasons i",2,"one","reasons","i"
"one right now",2,"one","right","now"
"one size fits",2,"one","size","fits"
"one step closer",2,"one","step","closer"
"one stop shop",2,"one","stop","shop"
"one thing i",5,"one","thing","i"
"one things i",3,"one","things","i"
"one time another",2,"one","time","another"
"one two three",2,"one","two","three"
"one will experience",2,"one","will","experience"
"one year ago",3,"one","year","ago"
"one year since",5,"one","year","since"
"ones i always",2,"ones","i","always"
"onion bell pepper",2,"onion","bell","pepper"
"only days till",2,"only","days","till"
"open mind heart",2,"open","mind","heart"
"open pm today",2,"open","pm","today"
"open source projects",2,"open","source","projects"
"order serve vested",2,"order","serve","vested"
"osama bin laden",2,"osama","bin","laden"
"our new website",2,"our","new","website"
"our task force",2,"our","task","force"
"outside comfort zone",2,"outside","comfort","zone"
"owner spends hours",2,"owner","spends","hours"
"p cant wait",2,"p","cant","wait"
"page got hacked",2,"page","got","hacked"
"paid much attention",2,"paid","much","attention"
"pain suffering cap",2,"pain","suffering","cap"
"paragraph means place",2,"paragraph","means","place"
"particles certain arrangements",2,"particles","certain","arrangements"
"partners world health",2,"partners","world","health"
"past couple days",2,"past","couple","days"
"past three years",2,"past","three","years"
"past two weeks",3,"past","two","weeks"
"past two years",5,"past","two","years"
"past years i",3,"past","years","i"
"patient joys world",2,"patient","joys","world"
"pay r meal",2,"pay","r","meal"
"peanut butter ice",2,"peanut","butter","ice"
"people around world",2,"people","around","world"
"people i can",2,"people","i","can"
"people i know",5,"people","i","know"
"people i love",2,"people","i","love"
"people i start",2,"people","i","start"
"people just get",2,"people","just","get"
"people know twitter",2,"people","know","twitter"
"people lose day",2,"people","lose","day"
"people never learn",2,"people","never","learn"
"people united states",2,"people","united","states"
"per cent alcohol",2,"per","cent","alcohol"
"period exception first",2,"period","exception","first"
"person i know",3,"person","i","know"
"personally i love",2,"personally","i","love"
"petrino bad guy",2,"petrino","bad","guy"
"photos will see",2,"photos","will","see"
"pit bull cross",2,"pit","bull","cross"
"place provided preceding",2,"place","provided","preceding"
"place ur heart",2,"place","ur","heart"
"planning right now",2,"planning","right","now"
"play draw something",2,"play","draw","something"
"played big part",2,"played","big","part"
"please bear us",2,"please","bear","us"
"please don’t take",2,"please","don’t","take"
"please email us",2,"please","email","us"
"please follow back",4,"please","follow","back"
"please follow me",4,"please","follow","me"
"please go away",3,"please","go","away"
"please keep prayers",3,"please","keep","prayers"
"please leave comment",2,"please","leave","comment"
"please let know",6,"please","let","know"
"please let us",4,"please","let","us"
"please please please",5,"please","please","please"
"please spread word",2,"please","spread","word"
"pleased make acquaintance",3,"pleased","make","acquaintance"
"pleasure life people",2,"pleasure","life","people"
"point im trying",2,"point","im","trying"
"points three wins",2,"points","three","wins"
"political question doctrine",2,"political","question","doctrine"
"possible fall love",2,"possible","fall","love"
"pr couture posts",2,"pr","couture","posts"
"preceding paragraph means",2,"preceding","paragraph","means"
"preheat oven degrees",6,"preheat","oven","degrees"
"press seams one",2,"press","seams","one"
"pretend i care",2,"pretend","i","care"
"pretty good job",4,"pretty","good","job"
"pretty much i",2,"pretty","much","i"
"pretty sure i",2,"pretty","sure","i"
"pretty sure just",3,"pretty","sure","just"
"projects show i",2,"projects","show","i"
"provided preceding paragraph",2,"provided","preceding","paragraph"
"pu bef th",2,"pu","bef","th"
"public information officer",2,"public","information","officer"
"public space design",2,"public","space","design"
"pull heart strings",2,"pull","heart","strings"
"purchase health insurance",2,"purchase","health","insurance"
"put final touches",2,"put","final","touches"
"put smile face",3,"put","smile","face"
"put vegetable oil",2,"put","vegetable","oil"
"quantum field theories",4,"quantum","field","theories"
"questions need answered",2,"questions","need","answered"
"quote i found",2,"quote","i","found"
"rack city bitch",2,"rack","city","bitch"
"rain go away",2,"rain","go","away"
"rain rain go",2,"rain","rain","go"
"ran miles today",2,"ran","miles","today"
"rates mobile coupons",2,"rates","mobile","coupons"
"re entirely sure",2,"re","entirely","sure"
"reach full potential",2,"reach","full","potential"
"read book i",2,"read","book","i"
"read now html",2,"read","now","html"
"real housewives new",2,"real","housewives","new"
"real rewards just",3,"real","rewards","just"
"real world can",2,"real","world","can"
"really feeling like",2,"really","feeling","like"
"really hope get",2,"really","hope","get"
"really like new",2,"really","like","new"
"really looking forward",4,"really","looking","forward"
"really need mascot",2,"really","need","mascot"
"really need stop",2,"really","need","stop"
"really really good",3,"really","really","good"
"really really really",7,"really","really","really"
"really really want",2,"really","really","want"
"really want go",7,"really","want","go"
"really want somebody",2,"really","want","somebody"
"really want take",2,"really","want","take"
"really wish i",2,"really","wish","i"
"reason i always",2,"reason","i","always"
"reason i keep",2,"reason","i","keep"
"reason i thought",2,"reason","i","thought"
"red pepper flakes",2,"red","pepper","flakes"
"red white blue",2,"red","white","blue"
"red white wine",2,"red","white","wine"
"red yellow green",2,"red","yellow","green"
"relativistic quantum field",3,"relativistic","quantum","field"
"remarks winning gop",2,"remarks","winning","gop"
"remember last time",2,"remember","last","time"
"reply follow happy",2,"reply","follow","happy"
"republican presidential candidate",2,"republican","presidential","candidate"
"republican presidential primaries",2,"republican","presidential","primaries"
"rest minutes serving",2,"rest","minutes","serving"
"returning home i",2,"returning","home","i"
"rewards just watching",3,"rewards","just","watching"
"ride big jet",2,"ride","big","jet"
"right away i",2,"right","away","i"
"right children raped",2,"right","children","raped"
"right now good",2,"right","now","good"
"right now i",5,"right","now","i"
"right now im",2,"right","now","im"
"right now just",2,"right","now","just"
"right now s",2,"right","now","s"
"right now though",2,"right","now","though"
"right vote without",2,"right","vote","without"
"right wrong i",2,"right","wrong","i"
"rm per voter",2,"rm","per","voter"
"rock n roll",4,"rock","n","roll"
"romney’s speech remarks",2,"romney’s","speech","remarks"
"rt now lol",2,"rt","now","lol"
"running town i",2,"running","town","i"
"russett love andrea",5,"russett","love","andrea"
"s going work",2,"s","going","work"
"s new album",2,"s","new","album"
"s new single",2,"s","new","single"
"s really good",2,"s","really","good"
"s really hard",2,"s","really","hard"
"s true i",2,"s","true","i"
"said didn’t mean",2,"said","didn’t","mean"
"said dont let",2,"said","dont","let"
"said i don’t",2,"said","i","don’t"
"said i going",2,"said","i","going"
"said i think",2,"said","i","think"
"said im sorry",2,"said","im","sorry"
"said low voice",2,"said","low","voice"
"said many times",3,"said","many","times"
"said now i",2,"said","now","i"
"said something like",2,"said","something","like"
"said yesterday i",2,"said","yesterday","i"
"salesperson sells margin",2,"salesperson","sells","margin"
"salt pepper garlic",2,"salt","pepper","garlic"
"samesex couples able",2,"samesex","couples","able"
"san francisco far",2,"san","francisco","far"
"santa monica studios",2,"santa","monica","studios"
"satan btr thn",2,"satan","btr","thn"
"saw wild turkey",2,"saw","wild","turkey"
"say happy mothers",4,"say","happy","mothers"
"say hi boys",2,"say","hi","boys"
"say i just",2,"say","i","just"
"say i like",3,"say","i","like"
"say i love",5,"say","i","love"
"say i want",3,"say","i","want"
"say i will",2,"say","i","will"
"say two years",2,"say","two","years"
"saying much love",2,"saying","much","love"
"says right wrong",2,"says","right","wrong"
"school obesity rate",2,"school","obesity","rate"
"season salt pepper",2,"season","salt","pepper"
"seattle city light",2,"seattle","city","light"
"second grade teacher",3,"second","grade","teacher"
"second time today",2,"second","time","today"
"see clearly i",2,"see","clearly","i"
"see everyone tonight",3,"see","everyone","tonight"
"see feel touch",2,"see","feel","touch"
"see i can",7,"see","i","can"
"see i thought",2,"see","i","thought"
"see little joanie",2,"see","little","joanie"
"see next week",2,"see","next","week"
"see next year",2,"see","next","year"
"see previous post",2,"see","previous","post"
"see title book",2,"see","title","book"
"see y tonight",2,"see","y","tonight"
"seeing last night",2,"seeing","last","night"
"seem like good",2,"seem","like","good"
"seemed little bit",2,"seemed","little","bit"
"seems like every",2,"seems","like","every"
"seems like good",5,"seems","like","good"
"seems like s",2,"seems","like","s"
"seen hunger games",2,"seen","hunger","games"
"semi sweet chocolate",2,"semi","sweet","chocolate"
"send us message",2,"send","us","message"
"series short stories",2,"series","short","stories"
"serve vested interests",2,"serve","vested","interests"
"served great nation",2,"served","great","nation"
"several times day",2,"several","times","day"
"several years ago",4,"several","years","ago"
"sexual abuse victims",2,"sexual","abuse","victims"
"sharing good news",2,"sharing","good","news"
"she also suggested",2,"she","also","suggested"
"she can go",2,"she","can","go"
"sheeran ed sheeran",2,"sheeran","ed","sheeran"
"shining city the",2,"shining","city","the"
"short time later",2,"short","time","later"
"should i buy",2,"should","i","buy"
"shout out to",3,"shout","out","to"
"sick being sick",2,"sick","being","sick"
"sign i know",2,"sign","i","know"
"since i actually",2,"since","i","actually"
"since i first",2,"since","i","first"
"since i got",3,"since","i","got"
"since i started",2,"since","i","started"
"since i’ve seen",2,"since","i’ve","seen"
"since last time",2,"since","last","time"
"sisters th birthday",2,"sisters","th","birthday"
"sit back chill",2,"sit","back","chill"
"six cup bundt",2,"six","cup","bundt"
"skill tree builds",2,"skill","tree","builds"
"slave masters decide",2,"slave","masters","decide"
"sleep last night",2,"sleep","last","night"
"so can i",2,"so","can","i"
"so far good",2,"so","far","good"
"so far i",2,"so","far","i"
"so far ive",2,"so","far","ive"
"so glad i",3,"so","glad","i"
"so great see",2,"so","great","see"
"so i became",2,"so","i","became"
"so i brought",2,"so","i","brought"
"so i can",3,"so","i","can"
"so i don’t",2,"so","i","don’t"
"so i get",2,"so","i","get"
"so i going",2,"so","i","going"
"so i hope",2,"so","i","hope"
"so i made",2,"so","i","made"
"so i started",2,"so","i","started"
"so i think",3,"so","i","think"
"so i thought",2,"so","i","thought"
"so i used",2,"so","i","used"
"so i went",2,"so","i","went"
"so i will",3,"so","i","will"
"so i’m going",2,"so","i’m","going"
"so many good",2,"so","many","good"
"so many great",2,"so","many","great"
"so many people",2,"so","many","people"
"so much excitement",2,"so","much","excitement"
"so much fun",6,"so","much","fun"
"so much happened",2,"so","much","happened"
"so new follower",2,"so","new","follower"
"so now i",3,"so","now","i"
"so so so",4,"so","so","so"
"so sorry hear",2,"so","sorry","hear"
"so to my",2,"so","to","my"
"so today i",4,"so","today","i"
"social media strategy",2,"social","media","strategy"
"social work education",2,"social","work","education"
"sold decreased average",2,"sold","decreased","average"
"some day i",2,"some","day","i"
"some people are",2,"some","people","are"
"somebody i used",4,"somebody","i","used"
"someone asked recently",2,"someone","asked","recently"
"someones going get",2,"someones","going","get"
"something along lines",2,"something","along","lines"
"something i can",3,"something","i","can"
"something i grab",2,"something","i","grab"
"something i know",2,"something","i","know"
"something i really",3,"something","i","really"
"something i said",2,"something","i","said"
"something i want",2,"something","i","want"
"something id like",2,"something","id","like"
"sometimes feel like",5,"sometimes","feel","like"
"sometimes i feel",2,"sometimes","i","feel"
"sometimes i think",4,"sometimes","i","think"
"sometimes i wish",5,"sometimes","i","wish"
"sometimes i wonder",2,"sometimes","i","wonder"
"sometimes just gotta",2,"sometimes","just","gotta"
"sometimes just want",2,"sometimes","just","want"
"somewhere along way",4,"somewhere","along","way"
"song right now",2,"song","right","now"
"sons of adam",2,"sons","of","adam"
"soon i promise",2,"soon","i","promise"
"soon im done",2,"soon","im","done"
"sooner rather later",2,"sooner","rather","later"
"sorry i missed",3,"sorry","i","missed"
"sounds good let",2,"sounds","good","let"
"sounds like fun",4,"sounds","like","fun"
"sounds like good",2,"sounds","like","good"
"sounds like plan",4,"sounds","like","plan"
"sounds like something",2,"sounds","like","something"
"soy sauce vinegar",2,"soy","sauce","vinegar"
"speech remarks winning",2,"speech","remarks","winning"
"spending time family",2,"spending","time","family"
"spends hours year",2,"spends","hours","year"
"spent early years",2,"spent","early","years"
"spent last years",2,"spent","last","years"
"spider unless pay",2,"spider","unless","pay"
"spot last minutes",2,"spot","last","minutes"
"sq ft million",5,"sq","ft","million"
"square every day",2,"square","every","day"
"st time i",2,"st","time","i"
"stan karl get",2,"stan","karl","get"
"stand by me",2,"stand","by","me"
"started reading book",2,"started","reading","book"
"started writing i",2,"started","writing","i"
"state fair park",2,"state","fair","park"
"stay tuned details",2,"stay","tuned","details"
"stay upallnight convince",2,"stay","upallnight","convince"
"staying moment calming",2,"staying","moment","calming"
"step right direction",2,"step","right","direction"
"still don’t know",3,"still","don’t","know"
"still got i",2,"still","got","i"
"stop acting like",3,"stop","acting","like"
"stop caring person",2,"stop","caring","person"
"storing pitching yeast",2,"storing","pitching","yeast"
"string cheese incident",2,"string","cheese","incident"
"stuck head day",2,"stuck","head","day"
"study world war",2,"study","world","war"
"sunday andrew i",2,"sunday","andrew","i"
"super tuesday speech",3,"super","tuesday","speech"
"supreme court case",2,"supreme","court","case"
"supreme court said",2,"supreme","court","said"
"sure can get",2,"sure","can","get"
"sure i feel",2,"sure","i","feel"
"sure i get",2,"sure","i","get"
"sure i got",2,"sure","i","got"
"sure i just",2,"sure","i","just"
"sure i want",2,"sure","i","want"
"surely one best",2,"surely","one","best"
"swear i just",2,"swear","i","just"
"sweet chocolate chips",2,"sweet","chocolate","chips"
"switches christmas lights",2,"switches","christmas","lights"
"taco taco bell",2,"taco","taco","bell"
"take home i",2,"take","home","i"
"take part i",2,"take","part","i"
"take part swaps",2,"take","part","swaps"
"take ride big",2,"take","ride","big"
"take time write",2,"take","time","write"
"taking time read",2,"taking","time","read"
"team good really",2,"team","good","really"
"techniques along way",2,"techniques","along","way"
"teeth of the",2,"teeth","of","the"
"tell i love",3,"tell","i","love"
"tell many times",2,"tell","many","times"
"terms families benefit",2,"terms","families","benefit"
"texas supreme court",2,"texas","supreme","court"
"text campaign buzz",5,"text","campaign","buzz"
"text i got",2,"text","i","got"
"th april th",2,"th","april","th"
"th clan royal",3,"th","clan","royal"
"th may th",2,"th","may","th"
"thank good night",2,"thank","good","night"
"thank i will",2,"thank","i","will"
"thank kind sir",2,"thank","kind","sir"
"thank much mention",2,"thank","much","mention"
"thanks everyone came",5,"thanks","everyone","came"
"thanks everyone coming",2,"thanks","everyone","coming"
"thanks everyone following",2,"thanks","everyone","following"
"thanks follow support",3,"thanks","follow","support"
"thanks following back",3,"thanks","following","back"
"thanks following twitter",5,"thanks","following","twitter"
"thanks following us",2,"thanks","following","us"
"thanks joining us",3,"thanks","joining","us"
"thanks kind words",2,"thanks","kind","words"
"thanks letting know",3,"thanks","letting","know"
"thanks man i",2,"thanks","man","i"
"thanks much follow",3,"thanks","much","follow"
"thanks much following",2,"thanks","much","following"
"thanks much great",2,"thanks","much","great"
"thanks much support",3,"thanks","much","support"
"thanks new followers",2,"thanks","new","followers"
"thanks new follows",2,"thanks","new","follows"
"thanks spreading word",4,"thanks","spreading","word"
"that awkward moment",9,"that","awkward","moment"
"that i can",2,"that","i","can"
"that said i",3,"that","said","i"
"that sounds nice",2,"that","sounds","nice"
"thats good hear",2,"thats","good","hear"
"thats great news",3,"thats","great","news"
"the associated press",2,"the","associated","press"
"the batter thick",2,"the","batter","thick"
"the best thing",5,"the","best","thing"
"the best time",2,"the","best","time"
"the best way",2,"the","best","way"
"the biggest question",2,"the","biggest","question"
"the blue knights",2,"the","blue","knights"
"the calm storm",2,"the","calm","storm"
"the cherry orchard",2,"the","cherry","orchard"
"the city council",2,"the","city","council"
"the company issued",2,"the","company","issued"
"the dark knight",2,"the","dark","knight"
"the day i",2,"the","day","i"
"the dragon tattoo",2,"the","dragon","tattoo"
"the easter bunny",2,"the","easter","bunny"
"the end of",2,"the","end","of"
"the entire process",2,"the","entire","process"
"the film will",2,"the","film","will"
"the first part",2,"the","first","part"
"the first thing",4,"the","first","thing"
"the first time",2,"the","first","time"
"the girl who",2,"the","girl","who"
"the good news",4,"the","good","news"
"the good thing",2,"the","good","thing"
"the government claims",2,"the","government","claims"
"the greatest pleasure",2,"the","greatest","pleasure"
"the hunger games",12,"the","hunger","games"
"the important thing",3,"the","important","thing"
"the kentucky derby",2,"the","kentucky","derby"
"the last couple",2,"the","last","couple"
"the last time",2,"the","last","time"
"the last two",2,"the","last","two"
"the mothers day",2,"the","mothers","day"
"the new ipad",2,"the","new","ipad"
"the new york",4,"the","new","york"
"the next day",2,"the","next","day"
"the next morning",4,"the","next","morning"
"the next one",2,"the","next","one"
"the night i",2,"the","night","i"
"the one i",2,"the","one","i"
"the one thing",2,"the","one","thing"
"the palm tree",2,"the","palm","tree"
"the plan shut",2,"the","plan","shut"
"the point im",2,"the","point","im"
"the press association",2,"the","press","association"
"the queen’s lover",2,"the","queen’s","lover"
"the reason i",2,"the","reason","i"
"the rest story",2,"the","rest","story"
"the second half",3,"the","second","half"
"the shuffled hustle",2,"the","shuffled","hustle"
"the sick being",2,"the","sick","being"
"the slave masters",2,"the","slave","masters"
"the state shall",2,"the","state","shall"
"the state will",2,"the","state","will"
"the string cheese",2,"the","string","cheese"
"the thing i",4,"the","thing","i"
"the think tank",2,"the","think","tank"
"the trip bountiful",2,"the","trip","bountiful"
"the united nations",2,"the","united","nations"
"the vast majority",2,"the","vast","majority"
"the walking dead",3,"the","walking","dead"
"the whole point",2,"the","whole","point"
"then i discovered",2,"then","i","discovered"
"then i realized",3,"then","i","realized"
"then i remembered",2,"then","i","remembered"
"there days i",2,"there","days","i"
"there i said",4,"there","i","said"
"there just one",2,"there","just","one"
"there many things",2,"there","many","things"
"there nothing quite",2,"there","nothing","quite"
"there will always",2,"there","will","always"
"there’s nothing wrong",2,"there’s","nothing","wrong"
"theres better way",2,"theres","better","way"
"theres just something",2,"theres","just","something"
"these days i",2,"these","days","i"
"they gave antibiotics",2,"they","gave","antibiotics"
"they knew name",2,"they","knew","name"
"they still don’t",2,"they","still","don’t"
"they will forget",3,"they","will","forget"
"thing i can",2,"thing","i","can"
"thing i ever",3,"thing","i","ever"
"thing i just",2,"thing","i","just"
"thing i like",2,"thing","i","like"
"thing i really",2,"thing","i","really"
"thing i think",3,"thing","i","think"
"things get worse",2,"things","get","worse"
"things getting bad",2,"things","getting","bad"
"things happen reason",2,"things","happen","reason"
"things i can",3,"things","i","can"
"things i get",2,"things","i","get"
"things i know",3,"things","i","know"
"things i love",9,"things","i","love"
"things id love",2,"things","id","love"
"things left hustle",2,"things","left","hustle"
"things may come",2,"things","may","come"
"things ve done",2,"things","ve","done"
"things will happen",2,"things","will","happen"
"think absolutely amazing",2,"think","absolutely","amazing"
"think can get",3,"think","can","get"
"think i can",9,"think","i","can"
"think i ever",2,"think","i","ever"
"think i feel",4,"think","i","feel"
"think i heard",2,"think","i","heard"
"think i just",4,"think","i","just"
"think i like",2,"think","i","like"
"think i need",6,"think","i","need"
"think i want",2,"think","i","want"
"think i will",3,"think","i","will"
"think im going",4,"think","im","going"
"think important thing",2,"think","important","thing"
"think like man",3,"think","like","man"
"think next time",2,"think","next","time"
"think one thing",2,"think","one","thing"
"think peyton manning",2,"think","peyton","manning"
"think s important",2,"think","s","important"
"think will get",3,"think","will","get"
"thinking i see",2,"thinking","i","see"
"third grade teacher",3,"third","grade","teacher"
"this blog will",2,"this","blog","will"
"this day just",2,"this","day","just"
"this especially true",3,"this","especially","true"
"this first time",3,"this","first","time"
"this i start",2,"this","i","start"
"this may sound",2,"this","may","sound"
"this morning i",4,"this","morning","i"
"this old lady",2,"this","old","lady"
"this one goes",2,"this","one","goes"
"this pretty much",2,"this","pretty","much"
"this salesperson sells",2,"this","salesperson","sells"
"this thursday night",2,"this","thursday","night"
"this time i",2,"this","time","i"
"this time im",2,"this","time","im"
"this time will",2,"this","time","will"
"this week want",3,"this","week","want"
"this will allow",3,"this","will","allow"
"this will also",2,"this","will","also"
"this will last",2,"this","will","last"
"this year i",2,"this","year","i"
"those came meet",2,"those","came","meet"
"though i felt",2,"though","i","felt"
"though i still",2,"though","i","still"
"though i think",2,"though","i","think"
"thought i good",2,"thought","i","good"
"thought i least",2,"thought","i","least"
"thought i saw",4,"thought","i","saw"
"thought id get",3,"thought","id","get"
"thought u know",2,"thought","u","know"
"thousand many basketfuls",2,"thousand","many","basketfuls"
"three four times",2,"three","four","times"
"three years row",2,"three","years","row"
"thrilling showdown wwe",2,"thrilling","showdown","wwe"
"time fell th",2,"time","fell","th"
"time get shape",2,"time","get","shape"
"time gods word",2,"time","gods","word"
"time i can",3,"time","i","can"
"time i checked",2,"time","i","checked"
"time i ever",3,"time","i","ever"
"time i feel",2,"time","i","feel"
"time i get",3,"time","i","get"
"time i go",2,"time","i","go"
"time i got",2,"time","i","got"
"time i hear",3,"time","i","hear"
"time i made",2,"time","i","made"
"time i need",2,"time","i","need"
"time i open",2,"time","i","open"
"time i read",3,"time","i","read"
"time i saw",2,"time","i","saw"
"time i see",2,"time","i","see"
"time i set",3,"time","i","set"
"time i think",3,"time","i","think"
"time i tried",2,"time","i","tried"
"time i went",2,"time","i","went"
"time i will",2,"time","i","will"
"time im going",2,"time","im","going"
"time ive ever",2,"time","ive","ever"
"time last night",3,"time","last","night"
"time last year",2,"time","last","year"
"time let go",2,"time","let","go"
"time long time",3,"time","long","time"
"time say goodbye",2,"time","say","goodbye"
"time since i",2,"time","since","i"
"time time i",2,"time","time","i"
"time will take",2,"time","will","take"
"times last night",2,"times","last","night"
"tip ending date",2,"tip","ending","date"
"to all my",2,"to","all","my"
"to be a",2,"to","be","a"
"to dare lose",2,"to","dare","lose"
"to honest i",4,"to","honest","i"
"to say i",2,"to","say","i"
"today i got",3,"today","i","got"
"today i took",2,"today","i","took"
"today i will",3,"today","i","will"
"today im going",2,"today","im","going"
"today january th",2,"today","january","th"
"todays friends bday",2,"todays","friends","bday"
"told i look",2,"told","i","look"
"tomorrow i will",2,"tomorrow","i","will"
"tonights gonna good",2,"tonights","gonna","good"
"too bad i",2,"too","bad","i"
"top two colas",2,"top","two","colas"
"topic new welfarism",2,"topic","new","welfarism"
"triple value manufacturer",2,"triple","value","manufacturer"
"trips grocery store",2,"trips","grocery","store"
"try get one",2,"try","get","one"
"try new things",2,"try","new","things"
"try think much",2,"try","think","much"
"trying decide i",2,"trying","decide","i"
"trying find someone",2,"trying","find","someone"
"trying lose weight",2,"trying","lose","weight"
"trying make sense",2,"trying","make","sense"
"trying please man",2,"trying","please","man"
"trying something new",2,"trying","something","new"
"tryna save money",2,"tryna","save","money"
"tuesday speech remarks",3,"tuesday","speech","remarks"
"tutu tutu tutu",4,"tutu","tutu","tutu"
"tv right now",2,"tv","right","now"
"tweet tweet tweet",4,"tweet","tweet","tweet"
"two centuries ago",2,"two","centuries","ago"
"two days i",2,"two","days","i"
"two decades later",2,"two","decades","later"
"two end chairs",2,"two","end","chairs"
"two weeks ago",5,"two","weeks","ago"
"two weeks now",2,"two","weeks","now"
"two years ago",2,"two","years","ago"
"two years later",4,"two","years","later"
"u can buy",2,"u","can","buy"
"u can say",2,"u","can","say"
"u going sleep",2,"u","going","sleep"
"u happy birthday",2,"u","happy","birthday"
"u heard us",2,"u","heard","us"
"u kno heard",2,"u","kno","heard"
"u know u",2,"u","know","u"
"u make worlds",2,"u","make","worlds"
"u play basketball",2,"u","play","basketball"
"u please follow",3,"u","please","follow"
"u u u",4,"u","u","u"
"uh uh uh",2,"uh","uh","uh"
"unique new york",3,"unique","new","york"
"united states america",5,"united","states","america"
"unless pay rent",2,"unless","pay","rent"
"up early morning",2,"up","early","morning"
"upallnight convince mum",2,"upallnight","convince","mum"
"uphold rule law",2,"uphold","rule","law"
"upon sketch blog",2,"upon","sketch","blog"
"us can get",2,"us","can","get"
"us know need",2,"us","know","need"
"us know think",2,"us","know","think"
"us spread word",2,"us","spread","word"
"usca d cir",2,"usca","d","cir"
"use front entrance",2,"use","front","entrance"
"using oven set",2,"using","oven","set"
"using social media",3,"using","social","media"
"value manufacturer coupons",2,"value","manufacturer","coupons"
"visit us booth",2,"visit","us","booth"
"voices head tell",2,"voices","head","tell"
"wait things left",2,"wait","things","left"
"wake next morning",2,"wake","next","morning"
"walk back hostel",2,"walk","back","hostel"
"walk home run",2,"walk","home","run"
"wall street journal",2,"wall","street","journal"
"wanna go school",3,"wanna","go","school"
"wanna say happy",2,"wanna","say","happy"
"want get wet",2,"want","get","wet"
"want go back",4,"want","go","back"
"want go school",3,"want","go","school"
"want go sleep",3,"want","go","sleep"
"want go work",2,"want","go","work"
"want i see",2,"want","i","see"
"want make sure",2,"want","make","sure"
"want read book",3,"want","read","book"
"want thank everyone",2,"want","thank","everyone"
"wanted make sure",2,"wanted","make","sure"
"wanted say i",2,"wanted","say","i"
"wanted share project",2,"wanted","share","project"
"warm cold warm",2,"warm","cold","warm"
"watch show live",2,"watch","show","live"
"watching the wire",2,"watching","the","wire"
"water let sit",2,"water","let","sit"
"way i know",2,"way","i","know"
"way i said",2,"way","i","said"
"way i use",2,"way","i","use"
"way keep track",2,"way","keep","track"
"way many people",2,"way","many","people"
"way start day",2,"way","start","day"
"we also need",2,"we","also","need"
"we appreciate support",3,"we","appreciate","support"
"we are the",3,"we","are","the"
"we can never",2,"we","can","never"
"we can talk",2,"we","can","talk"
"we can tell",2,"we","can","tell"
"we cant thank",2,"we","cant","thank"
"we decided take",2,"we","decided","take"
"we get going",2,"we","get","going"
"we hope enjoy",3,"we","hope","enjoy"
"we hope enjoyed",2,"we","hope","enjoyed"
"we hope everyone",2,"we","hope","everyone"
"we just got",2,"we","just","got"
"we just received",2,"we","just","received"
"we just sent",2,"we","just","sent"
"we look forward",5,"we","look","forward"
